Version,DSC,ANA,DAM,DCC,CAM,MOA,MFA,NOP,CIS,NOM
1.0.0.0,288.0,0.0011574074074074073,0.5786236716072578,8.57638888888889,-0.1423611111111111,3.076388888888889,1.0,1.0034722222222223,4.479166666666667,11.6875
1.1.0.0,327.0,0.004808019028202514,0.583500167190293,9.238532110091743,-0.12232415902140673,3.223241590214067,1.0,1.0214067278287462,5.125382262996942,14.749235474006117
1.3.0.0,351.0,0.004479265590376701,0.5785651830768805,9.606837606837606,-0.11965811965811966,3.2962962962962963,1.0,1.01994301994302,5.222222222222222,15.478632478632479
2.0.0.0,351.0,0.004479265590376701,0.5800236012019654,9.623931623931623,-0.11965811965811966,3.3076923076923075,1.0,1.01994301994302,5.2250712250712255,15.49002849002849
2.2.0.0,356.0,0.004884519350811486,0.5777599158809997,9.674157303370787,-0.11797752808988764,3.297752808988764,1.0,1.0224719101123596,5.202247191011236,15.42134831460674
2.4.0.0,356.0,0.004884519350811486,0.5777599158809997,9.674157303370787,-0.11797752808988764,3.297752808988764,1.0,1.0224719101123596,5.202247191011236,15.429775280898877
2.7.0.0,362.0,0.004803560466543892,0.5782333585459973,9.75414364640884,-0.11602209944751381,3.342541436464088,1.0,1.022099447513812,5.168508287292818,15.320441988950277
2.10.0.0,362.0,0.004803560466543892,0.5782333585459973,9.751381215469614,-0.11602209944751381,3.342541436464088,1.0,1.022099447513812,5.168508287292818,15.32596685082873
2.13.0.0,364.0,0.0047771672771672775,0.5778035049276128,9.782967032967033,-0.11538461538461539,3.32967032967033,1.0,1.021978021978022,5.15934065934066,15.29945054945055
2.16.0.0,591.0,0.011596807135793363,0.4514239816054482,10.480541455160745,-0.14213197969543148,2.6632825719120135,1.0,1.1421319796954315,4.22165820642978,12.021996615905245
2.19.0.0,609.0,0.011159191482504306,0.4493007769158567,10.469622331691298,-0.13793103448275862,2.6371100164203614,1.0,1.1395730706075533,4.236453201970443,12.157635467980295
3.0.0.0,609.0,0.011159191482504306,0.4493007769158567,10.469622331691298,-0.13793103448275862,2.6371100164203614,1.0,1.1395730706075533,4.236453201970443,12.15927750410509
