Version,Reusability,Flexibility,Understandability,Functionality,Extendibility,Effectiveness
1.0.0.0,4.147358674583673,0.040489251235147794,-9.572369941372607,2.987835502002001,-3.28587962962963,1.1319284380251553
1.1.0.0,4.401253066529225,-0.0414338267039559,-10.860418248043322,3.1773338841012655,-3.6061586816173974,1.166591300852262
1.3.0.0,4.409202988805828,-0.09894844782052326,-11.256437585653266,3.220977773447467,-3.791207660652105,1.1798567529813149
2.0.0.0,4.406353985956825,-0.09715934186475084,-11.265358017073696,3.221604554074248,-3.7997546691991135,1.182427638885534
2.2.0.0,4.392980019654999,-0.11398698732188506,-11.267143774813968,3.221907151219985,-3.8234004369538077,1.180573830866587
2.4.0.0,4.392980019654999,-0.11398698732188506,-11.269924673690372,3.221907151219985,-3.8234004369538077,1.180573830866587
2.7.0.0,4.368625576180196,-0.11165712997676058,-11.267224030338124,3.219909495385462,-3.8636203192142426,1.1895355605980884
2.10.0.0,4.369316183915002,-0.11096652224195402,-11.26813563254807,3.219909495385462,-3.8622391037446295,1.1895355605980884
2.13.0.0,4.3609587444661075,-0.12546670618567934,-11.272307156846061,3.219680516673756,-3.878105921855922,1.1868458047706263
2.16.0.0,4.059887427315321,-0.6045720925851019,-10.743621313133328,3.191609041392338,-4.16340633416476,1.0536870680697374
2.19.0.0,4.092670975666832,-0.6167388451799029,-10.797364298087006,3.204215473094434,-4.15944503480062,1.0474286110852553
3.0.0.0,4.092670975666832,-0.6167388451799029,-10.797906170008186,3.204215473094434,-4.15944503480062,1.0474286110852553
