Version,Total_Classes,Avg_CBO,Avg_DIT,Avg_WMC,Avg_RFC,Avg_LCOM,Avg_NOM,Avg_NOA,Avg_LOC,Total_LOC,Avg_NOC,Max_CBO,Max_WMC,Max_DIT
1.0.0.0,288.0,8.57638888888889,1.5833333333333333,11.6875,16.163194444444443,13.885416666666666,6.010416666666667,4.979166666666667,58.69097222222222,16903.0,0.03819444444444445,118.0,103.0,7.0
1.1.0.0,327.0,9.238532110091743,1.617737003058104,14.749235474006117,19.045871559633028,27.189602446483182,6.81039755351682,5.391437308868501,71.41896024464832,23354.0,0.06116207951070336,133.0,308.0,7.0
1.3.0.0,351.0,9.606837606837606,1.6324786324786325,15.478632478632479,19.900284900284902,26.495726495726494,6.985754985754986,5.646723646723647,75.03703703703704,26338.0,0.06837606837606838,136.0,314.0,7.0
2.0.0.0,351.0,9.623931623931623,1.6324786324786325,15.49002849002849,19.905982905982906,26.504273504273506,6.988603988603988,5.6581196581196584,75.10826210826211,26363.0,0.06837606837606838,136.0,314.0,7.0
2.2.0.0,356.0,9.674157303370787,1.6376404494382022,15.42134831460674,19.90730337078652,26.536516853932586,6.980337078651686,5.640449438202247,74.73033707865169,26604.0,0.0702247191011236,138.0,314.0,7.0
2.4.0.0,356.0,9.674157303370787,1.6376404494382022,15.429775280898877,19.90730337078652,26.536516853932586,6.980337078651686,5.640449438202247,74.74719101123596,26610.0,0.0702247191011236,138.0,314.0,7.0
2.7.0.0,362.0,9.75414364640884,1.6298342541436464,15.320441988950277,19.79281767955801,26.464088397790054,6.919889502762431,5.665745856353591,74.39779005524862,26932.0,0.0718232044198895,140.0,318.0,7.0
2.10.0.0,362.0,9.751381215469614,1.6298342541436464,15.32596685082873,19.834254143646408,26.49171270718232,6.922651933701657,5.665745856353591,74.39226519337016,26930.0,0.0718232044198895,140.0,318.0,7.0
2.13.0.0,364.0,9.782967032967033,1.6263736263736264,15.29945054945055,19.774725274725274,26.434065934065934,6.925824175824176,5.6401098901098905,74.28846153846153,27041.0,0.07142857142857142,140.0,318.0,7.0
2.16.0.0,591.0,10.480541455160745,1.7597292724196278,12.021996615905245,15.40947546531303,18.135363790186126,5.680203045685279,4.600676818950931,58.192893401015226,34392.0,0.08121827411167512,214.0,190.0,7.0
2.19.0.0,609.0,10.469622331691298,1.748768472906404,12.157635467980295,15.502463054187192,18.573070607553365,5.6880131362889985,4.548440065681445,58.477832512315274,35613.0,0.07881773399014778,217.0,196.0,7.0
3.0.0.0,609.0,10.469622331691298,1.748768472906404,12.15927750410509,15.52216748768473,18.573070607553365,5.6880131362889985,4.54679802955665,58.476190476190474,35612.0,0.07881773399014778,217.0,196.0,7.0
